block,neighbourhood,street,jewish_insitute,public_institution,gas_station,banco,car_thefts,month,education,employment_rate
709.0,V. Crespo,Luis Maria Drago,0.0,0.0,0.0,0.0,0.0,4.0,11.839622497558594,0.9515738487243652
549.0,V. Crespo,Angel Gallardo,0.0,0.0,0.0,0.0,1.0,4.0,9.721518516540527,0.9285714030265808
666.0,V. Crespo,Corrientes,0.0,0.0,0.0,0.0,0.0,4.0,11.321651458740234,0.9536231756210327
547.0,V. Crespo,Angel Gallardo,0.0,0.0,0.0,1.0,0.0,4.0,9.721518516540527,0.9285714030265808
665.0,V. Crespo,Corrientes,0.0,0.0,0.0,0.0,0.0,4.0,11.321651458740234,0.9536231756210327
548.0,V. Crespo,Angel Gallardo,0.0,0.0,0.0,0.0,0.0,4.0,9.721518516540527,0.9285714030265808
676.0,V. Crespo,Vera,0.0,0.0,0.0,0.0,1.0,4.0,11.321651458740234,0.9536231756210327
533.0,V. Crespo,Julian Alvarez,0.0,0.0,0.0,0.0,0.0,4.0,9.721518516540527,0.9285714030265808
550.0,V. Crespo,Angel Gallardo,0.0,0.0,0.0,0.0,0.0,4.0,9.721518516540527,0.9285714030265808
664.0,V. Crespo,Corrientes,0.0,0.0,0.0,0.0,0.0,4.0,11.321651458740234,0.9536231756210327
821.0,Once,Tte. Gral. Peron,0.0,0.0,0.0,0.0,0.0,4.0,13.1868314743042,0.9550827145576477
806.0,Once,Rivadavia,0.0,0.0,1.0,0.0,0.0,4.0,12.893609046936035,0.9548872113227844
833.0,Once,Valentin Gomez,1.0,0.0,0.0,0.0,0.0,4.0,13.1868314743042,0.9550827145576477
834.0,Once,Valentin Gomez,0.0,0.0,0.0,1.0,0.0,4.0,13.1868314743042,0.9550827145576477
827.0,Once,Sarmiento,0.0,0.0,0.0,0.0,0.0,4.0,13.1868314743042,0.9550827145576477
813.0,Once,Bartolome Mitre,0.0,0.0,0.0,0.0,0.0,4.0,13.040220260620117,0.9549849629402161
724.0,Once,Jean Jaures,0.0,0.0,0.0,0.0,0.0,4.0,11.839622497558594,0.9515738487243652
819.0,Once,Tte. Gral. Peron,0.0,0.0,0.0,0.0,0.0,4.0,13.1868314743042,0.9550827145576477
820.0,Once,Tte. Gral. Peron,1.0,1.0,0.0,0.0,0.0,4.0,13.1868314743042,0.9550827145576477
736.0,Once,Ecuador,0.0,0.0,0.0,0.0,0.0,4.0,12.366616249084473,0.9532305598258972
744.0,Once,Boulogne Sur Mer,0.0,0.0,0.0,0.0,0.0,4.0,12.216336250305176,0.9541666507720947
832.0,Once,Valentin Gomez,0.0,0.0,0.0,1.0,0.0,4.0,13.1868314743042,0.9550827145576477
804.0,Once,Rivadavia,0.0,0.0,0.0,1.0,0.0,4.0,12.893609046936035,0.9548872113227844
742.0,Once,Boulogne Sur Mer,0.0,0.0,0.0,0.0,0.0,4.0,12.216336250305176,0.9541666507720947
812.0,Once,Bartolome Mitre,0.0,0.0,0.0,0.0,0.0,4.0,13.040220260620117,0.9549849629402161
735.0,Once,Ecuador,0.0,0.0,0.0,1.0,0.0,4.0,12.027979850769043,0.95287024974823
743.0,Once,Boulogne Sur Mer,0.0,0.0,0.0,0.0,0.0,4.0,12.216336250305176,0.9541666507720947
829.0,Once,Sarmiento,0.0,0.0,0.0,0.0,0.0,4.0,13.1868314743042,0.9550827145576477
734.0,Once,Ecuador,0.0,0.0,0.0,0.0,0.0,4.0,12.027979850769043,0.95287024974823
